Word,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
association,0.011363636363636364,0.010666666666666666,0.00477326968973747,0.004210526315789474,0.012515644555694618,0.018670649738610903,0.017640573318632856,0.01899050474762619,0.024865919063871283,0.03033772180881511,0.026159921026653505,0.024249004705030764,0.030566037735849056,0.021105527638190954,0.02573701450631727,0.027646662171274445,0.02207609206200094,0.02256361017762842,0.021465968586387434,0.017195056421278884,0.008212428141253765,0.00951831554658206,0.008321775312066574,0.014484356894553883,0.011811023622047244,0.00932017543859649
genetic,0.0,0.014222222222222223,0.011933174224343675,0.008421052631578947,0.01376720901126408,0.009708737864077669,0.010474090407938258,0.017991004497751123,0.014139444173573866,0.019461934745277618,0.01678183613030602,0.018458197611292075,0.016226415094339624,0.01306532663316583,0.016846045858680395,0.023600809170600135,0.01972757162987318,0.017762842054728757,0.020418848167539267,0.018269747447608814,0.009854913769504517,0.0054802422843957315,0.0063800277392510405,0.01738122827346466,0.01837270341207349,0.02412280701754386
analysis,0.022727272727272728,0.022222222222222223,0.020684168655529037,0.02526315789473684,0.016896120150187734,0.017923823749066467,0.015986769570011026,0.02148925537231384,0.01462701121404193,0.014882655981682884,0.013820335636722606,0.014477017734346724,0.013584905660377358,0.01507537688442211,0.011230697239120261,0.018880647336480108,0.024424612494128698,0.019683149303888623,0.011518324607329843,0.010209564750134336,0.00684369011771147,0.006633977502163254,0.007489597780859916,0.014484356894553883,0.009623797025371828,0.012609649122807017
data,0.0,0.0044444444444444444,0.00954653937947494,0.008421052631578947,0.007509386733416771,0.01344286781179985,0.0027563395810363835,0.0069965017491254375,0.009263773768893223,0.01030337721808815,0.004935834155972359,0.010495837857401375,0.009056603773584906,0.013567839195979899,0.010762751520823585,0.01820633850303439,0.015030530765617662,0.014402304368698993,0.009424083769633508,0.016657710908113917,0.0073911853271283875,0.005768676088837612,0.0063800277392510405,0.010428736964078795,0.010498687664041995,0.006030701754385965
studies,0.0,0.008888888888888889,0.005568814638027049,0.002105263157894737,0.011889862327909888,0.01194921583271098,0.006615214994487321,0.009995002498750625,0.01218917601170161,0.018889524899828276,0.013820335636722606,0.014115092290988056,0.015849056603773583,0.01256281407035176,0.015910154422087038,0.016183412002697236,0.012682010333489901,0.01344215074411906,0.007853403141361256,0.006448146157979581,0.0038324664659184233,0.0025959042399769255,0.0027739251040221915,0.006373117033603708,0.004811898512685914,0.003289473684210526
study,0.0,0.010666666666666666,0.007955449482895784,0.018947368421052633,0.011264080100125156,0.011202389843166542,0.009922822491730982,0.010494752623688156,0.010726474890297415,0.008013737836290785,0.01085883514313919,0.010133912414042706,0.012452830188679246,0.010050251256281407,0.006083294337856809,0.006068779501011463,0.010803193987787695,0.009121459433509362,0.009947643979057591,0.013433637829124127,0.006022447303586094,0.006057109893279493,0.006102635228848821,0.01100811123986095,0.01268591426071741,0.004934210526315789
using,0.0,0.010666666666666666,0.00954653937947494,0.004210526315789474,0.010638297872340425,0.012696041822255415,0.006063947078280044,0.0074962518740629685,0.01121404193076548,0.012593016599885518,0.008884501480750246,0.009410061527325372,0.006415094339622641,0.01407035175879397,0.012166588675713618,0.009440323668240054,0.013621418506341005,0.01200192030724916,0.011518324607329843,0.007522837184309511,0.0032849712565015056,0.004326507066628208,0.004715672676837725,0.005793742757821553,0.010061242344706912,0.008771929824561403
linkage,0.011363636363636364,0.021333333333333333,0.030230708035003977,0.029473684210526315,0.01877346683354193,0.019417475728155338,0.020948180815876516,0.02048975512243878,0.016089712335446125,0.01659988551803091,0.011352418558736426,0.007238508867173362,0.0030188679245283017,0.005527638190954774,0.004679457182966776,0.0020229265003371545,0.0028182245185533112,0.004800768122899664,0.0010471204188481676,0.0016120365394948952,0.0010949904188338351,0.0005768676088837611,0.0,0.0,0.0013123359580052493,0.0010964912280701754
risk,0.011363636363636364,0.0026666666666666666,0.0031821797931583136,0.004210526315789474,0.0031289111389236545,0.0037341299477221808,0.007717750826901874,0.005497251374312844,0.005363237445148708,0.006868918145392101,0.003948667324777887,0.005066956207021353,0.005660377358490566,0.007537688442211055,0.005615348619560131,0.004720161834120027,0.00986378581493659,0.00528084493518963,0.013089005235602094,0.010209564750134336,0.0043799616753353405,0.007210845111047015,0.00665742024965326,0.01738122827346466,0.019247594050743656,0.013706140350877192
cancer,0.011363636363636364,0.005333333333333333,0.008750994431185362,0.021052631578947368,0.007509386733416771,0.0074682598954443615,0.008269018743109152,0.00849575212393803,0.005363237445148708,0.004006868918145392,0.007897334649555774,0.00760043431053203,0.007169811320754717,0.010552763819095477,0.008423022929340197,0.006068779501011463,0.007515265382808831,0.006240998559769563,0.0062827225130890054,0.007522837184309511,0.004927456884752259,0.006345543697721373,0.007212205270457697,0.008111239860950173,0.010936132983377077,0.005482456140350877
