Word	Frequency	Overall Rank
association	52	1
genomewide	22	7
cancer	21	4
variant	21	12
rare	20	15
test	19	11
interaction	18	5
risk	16	2
family	14	9
population	13	10
linkage	12	3
detection	11	59
complex	10	17
design	10	59
effect	10	8
gene	10	14
sequencing	10	27
snp	10	16
application	9	24
comparison	9	21
pathway	9	85
phenotype	9	18
locus	8	13
model	8	22
trait	8	6
bayesian	7	47
casecontrol	7	36
expression	7	59
framework	7	117
genotype	7	22
modeling	7	79
polymorphism	7	28
selection	7	49
marker	6	54
sample	6	34
variation	6	40
copy	5	119
detecting	5	54
disease	5	48
disequilibrium	5	77
geneenvironment	5	40
genomic	5	73
lung	5	59
metaanalysis	5	75
multiple	5	19
new	5	75
number	5	103
pedigree	5	36
power	5	25
serum	5	277
signal	5	218
simulation	5	171
statistical	5	77
stratification	5	151
breast	4	38
colon	4	523
control	4	66
estimation	4	64
heart	4	71
human	4	45
identifying	4	88
imprinting	4	369
mutation	4	121
region	4	73
score	4	20
set	4	128
software	4	242
susceptibility	4	32
two	4	108
acid	3	369
adjusting	3	481
algorithm	3	137
analyzing	3	369
calling	3	369
caseparent	3	314
causal	3	85
consortium	3	242
detect	3	81
different	3	159
epistasis	3	151
error	3	134
evaluating	3	267
evaluation	3	114
evidence	3	66
factor	3	35
fast	3	206
frequency	3	199
functional	3	126
genegene	3	88
general	3	256
genome	3	523
genotyping	3	206
gwas	3	30
identify	3	81
impact	3	142
imputation	3	83
information	3	108
mapping	3	29
maternal	3	242
melanoma	3	242
mendelian	3	40
metaanalyses	3	608
mixed	3	171
multivariate	3	123
nextgeneration	3	808
nonparametric	3	300
outcome	3	177
package	3	566
patient	3	102
performance	3	267
phenotypic	3	418
profile	3	326
project	3	369
rectal	3	1562
regression	3	31
robust	3	165
sequence	3	96
size	3	145
statistic	3	59
trio	3	202
without	3	481
admixture	2	231
allele	2	119
american	2	111
approach	2	108
array	2	345
bilirubin	2	1562
biomarkers	2	277
calculation	2	446
capture	2	808
case	2	90
cdkn2acdk4	2	1562
characterization	2	446
chromosome	2	50
cleft	2	277
cluster	2	326
cnv	2	523
cohort	2	93
colorectal	2	126
common	2	83
congenital	2	566
consideration	2	808
coronary	2	137
crohn	2	920
cvd	2	1274
decomposition	2	719
defect	2	652
development	2	183
dimensionality	2	300
dissection	2	608
distinct	2	1072
dna	2	71
enrichment	2	608
ensemble	2	719
environmental	2	206
equation	2	481
estimating	2	134
evaluate	2	652
extended	2	213
familybased	2	114
fatty	2	608
folate	2	1072
followup	2	566
generation	2	231
graphical	2	523
gxg	2	1562
heritability	2	99
heritable	2	1274
history	2	242
identifies	2	50
incorporating	2	183
independent	2	418
index	2	195
inferring	2	652
integrated	2	418
integrating	2	189
investigation	2	300
language	2	1072
large	2	81
level	2	52
likelihood	2	165
lipase	2	920
matter	2	652
maximum	2	418
melanomaprone	2	1072
methylation	2	90
missing	2	151
modelling	2	277
multifactor	2	326
national	2	1072
network	2	99
next	2	326
obesity	2	165
overall	2	1562
oxidative	2	1274
parallel	2	808
parametric	2	719
parkinson	2	418
pipeline	2	719
plasma	2	213
pleiotropy	2	287
pooled	2	608
positive	2	446
preliminary	2	808
promoter	2	566
prostate	2	69
reduction	2	218
related	2	64
report	2	1072
reproductive	2	719
resequencing	2	523
reveals	2	131
robustness	2	808
role	2	189
sampling	2	242
screening	2	256
semiparametric	2	566
shrinkage	2	719
signature	2	481
significance	2	314
smoking	2	126
strategy	2	111
stratified	2	392
structure	2	103
subgroup	2	652
tool	2	171
tradeoff	2	1562
treatment	2	242
twophase	2	920
uric	2	920
used	2	652
via	2	165
wholegenome	2	418
3d	1	920
ability	1	920
account	1	523
accuracy	1	345
adiponectin	1	920
adiposity	1	418
admixed	1	287
advantage	1	1274
african	1	99
age	1	88
alternative	1	287
alzheimer	1	267
america	1	1274
among	1	159
analysis	1	45
analytic	1	719
analyze	1	920
antigen	1	920
apoe	1	523
architecture	1	199
area	1	808
artery	1	224
arthritis	1	242
ascertained	1	523
ass	1	418
assessment	1	481
automated	1	719
benefit	1	920
beyond	1	808
binary	1	224
biomarker	1	608
birth	1	277
blood	1	105
body	1	218
boosting	1	1562
brca12	1	1072
carcinoma	1	481
cardiovascular	1	256
carrier	1	446
caseonly	1	808
caucasian	1	418
challenge	1	314
childhood	1	481
chip	1	446
chromosomal	1	608
ci	1	1274
cnvs	1	920
coagulation	1	1562
collapsing	1	1072
combine	1	1562
combined	1	189
combining	1	242
comparing	1	418
component	1	99
computation	1	920
computationally	1	1274
computing	1	920
concentration	1	719
confirmation	1	808
confounding	1	608
correct	1	920
count	1	566
course	1	1072
covariatebased	1	1274
critical	1	719
cytokine	1	1072
database	1	481
de	1	1072
deficiency	1	1562
deletion	1	808
dense	1	719
density	1	267
derived	1	446
diabetes	1	42
discovery	1	165
disorder	1	96
distribution	1	242
downstream	1	1562
early	1	345
efficient	1	134
empirical	1	392
endemic	1	1274
entropy	1	1072
enzyme	1	566
epigenetic	1	287
epilepsy	1	719
epistatic	1	369
eqtl	1	481
estimator	1	808
estrogen	1	920
evolutionary	1	1274
exact	1	608
explaining	1	920
exploration	1	920
exposure	1	177
extent	1	1072
familial	1	59
finemapping	1	392
flexible	1	608
forest	1	177
four	1	719
france	1	1562
french	1	256
function	1	131
