Word	Frequency	Overall Rank
linkage	30	3
association	23	1
family	18	9
haplotype	17	25
gene	15	14
locus	15	13
cancer	13	4
interaction	13	5
effect	12	8
candidate	11	69
polymorphism	11	28
complex	10	17
chromosome	9	50
familial	9	59
marker	9	54
scan	9	59
snp	9	16
trait	9	6
design	7	59
disease	7	48
genomewide	7	7
mapping	7	29
multiple	7	19
phenotype	7	18
susceptibility	7	32
test	7	11
aggregation	6	256
application	6	24
comparison	6	21
detect	6	81
evidence	6	66
linked	6	218
power	6	25
risk	6	2
type	6	33
disequilibrium	5	77
geneenvironment	5	40
genotype	5	22
model	5	22
population	5	10
sample	5	34
single	5	195
statistical	5	77
affected	4	114
asthma	4	151
casecontrol	4	36
component	4	99
diabetes	4	42
dna	4	71
estimation	4	64
french	4	256
genegene	4	88
heterogeneity	4	54
history	4	242
human	4	45
nucleotide	4	326
onset	4	123
pedigree	4	36
presence	4	114
prostate	4	69
receptor	4	256
sibpair	4	300
simulation	4	171
statistic	4	59
two	4	108
woman	4	189
age	3	88
alzheimer	3	267
among	3	159
case	3	90
clinical	3	145
combined	3	189
covariate	3	392
different	3	159
efficient	3	134
egea	3	446
epidemiology	3	231
estimate	3	128
factor	3	35
frequency	3	199
influence	3	159
isolated	3	345
late	3	566
level	3	52
map	3	369
qtl	3	195
region	3	73
regression	3	31
relative	3	189
search	3	224
sharing	3	199
size	3	145
small	3	523
strategy	3	111
survival	3	159
syndrome	3	131
variance	3	151
ace	2	481
adjustment	2	566
adult	2	314
allelesharing	2	1072
alternative	2	287
analysis	2	45
analyzing	2	369
block	2	808
blood	2	105
breast	2	38
cardiovascular	2	256
child	2	418
choice	2	719
common	2	83
context	2	566
control	2	66
decision	2	920
detection	2	59
determining	2	1072
dietary	2	1274
dimensionality	2	300
discovery	2	165
dutch	2	719
exploring	2	267
expression	2	59
fine	2	314
framework	2	117
framingham	2	300
genomic	2	73
heart	2	71
hla	2	256
hypertension	2	345
individual	2	96
infection	2	224
inference	2	171
influencing	2	300
interpretation	2	719
likelihood	2	165
localization	2	481
longitudinal	2	93
lung	2	59
major	2	213
measure	2	165
metaanalysis	2	75
microarray	2	566
mixed	2	171
multiplex	2	418
multipoint	2	242
multivariate	2	123
mutation	2	121
negative	2	920
nonparametric	2	300
