Word	Frequency	Overall Rank
association	96	1
genomewide	41	7
interaction	34	5
variant	23	12
family	22	9
locus	22	13
trait	21	6
test	20	11
cancer	19	4
rare	17	15
effect	16	8
gwas	16	30
population	15	10
risk	14	2
sample	14	34
snp	13	16
genegene	11	88
metaanalysis	11	75
power	11	25
regression	11	31
variation	11	40
bayesian	10	47
haplotype	10	25
chromosome	9	50
disease	9	48
geneenvironment	9	40
heart	9	71
model	9	22
susceptibility	9	32
comparison	8	21
complex	8	17
gene	8	14
genomic	8	73
linkage	8	3
sequencing	8	27
size	8	145
type	8	33
application	7	24
detecting	7	54
genotype	7	22
identify	7	81
number	7	103
prediction	7	43
prostate	7	69
african	6	99
casecontrol	6	36
control	6	66
copy	6	119
diabetes	6	42
dna	6	71
estimation	6	64
heterogeneity	6	54
human	6	45
multiple	6	19
new	6	75
phenotype	6	18
polymorphism	6	28
structure	6	103
allele	5	119
american	5	111
blood	5	105
candidate	5	69
common	5	83
detect	5	81
expression	5	59
infection	5	224
level	5	52
lung	5	59
mapping	5	29
measure	5	165
resequencing	5	523
reveals	5	131
variable	5	137
age	4	88
consortium	4	242
detection	4	59
development	4	183
disorder	4	96
efficient	4	134
epistasis	4	151
evaluation	4	114
identifies	4	50
imputation	4	83
individual	4	96
multilocus	4	277
powerful	4	177
presence	4	114
random	4	139
reduction	4	218
sequence	4	96
survival	4	159
syndrome	4	131
aging	3	392
algorithm	3	137
autism	3	267
breast	3	38
case	3	90
cnv	3	523
colorectal	3	126
combining	3	242
different	3	159
dimensionality	3	300
exploring	3	267
familial	3	59
familybased	3	114
fine	3	314
framework	3	117
framingham	3	300
function	3	131
generation	3	231
hepatitis	3	652
hiv1	3	1072
identifying	3	88
improve	3	345
imputed	3	446
influence	3	159
influencing	3	300
issue	3	392
joint	3	105
large	3	81
latent	3	287
melanoma	3	242
methylation	3	90
modelbased	3	652
multifactor	3	326
patient	3	102
pressure	3	159
region	3	73
replication	3	213
segment	3	523
selection	3	49
single	3	195
spectrum	3	523
statistical	3	77
strategy	3	111
subset	3	392
targeted	3	392
tiled	3	652
two	3	108
whole	3	69
accounting	2	267
adjusting	2	481
admixed	2	287
admixture	2	231
alternative	2	287
among	2	159
analysis	2	45
ancestry	2	111
annotation	2	446
applied	2	345
approach	2	108
ascertained	2	523
bias	2	142
binary	2	224
biological	2	314
bmi	2	345
body	2	218
burden	2	566
carotid	2	719
causal	2	85
cell	2	189
chronic	2	392
class	2	369
component	2	99
conclusion	2	652
confounding	2	608
congenital	2	566
controlling	2	719
coronary	2	137
correlation	2	142
current	2	808
de	2	1072
deletion	2	808
dependence	2	920
design	2	59
discovery	2	165
disequilibrium	2	77
empirical	2	392
environment	2	139
epidemiology	2	231
equation	2	481
error	2	134
estimate	2	128
european	2	326
experiment	2	808
exposure	2	177
extended	2	213
factor	2	35
fast	2	206
flexible	2	608
forest	2	177
functional	2	126
generalized	2	195
health	2	183
healthy	2	418
higher	2	1072
highrisk	2	652
hla	2	256
hypertension	2	345
identification	2	93
implication	2	314
incorporating	2	183
information	2	108
integrative	2	345
intimamedia	2	1072
investigating	2	277
involved	2	719
jackson	2	1274
lasso	2	566
ld	2	300
logistic	2	189
longevity	2	481
major	2	213
marker	2	54
massively	2	920
matching	2	920
maternal	2	242
measurement	2	392
men	2	326
mitochondrial	2	345
modeling	2	79
mortality	2	481
multimarker	2	608
multiphenotype	2	719
multivariate	2	123
next	2	326
nucleotide	2	326
optimal	2	345
outcome	2	177
overlapping	2	920
