Word	Frequency	Overall Rank
association	50	1
variant	25	12
risk	21	2
effect	18	8
interaction	17	5
population	17	10
rare	17	15
cancer	16	4
sequencing	13	27
complex	12	17
gene	12	14
meta	12	159
trait	12	6
snp	11	16
exome	10	121
family	10	9
application	9	24
case	9	90
genotype	9	22
test	9	11
gwas	8	30
locus	8	13
model	8	22
whole	8	69
control	7	66
identification	7	93
large	7	81
mapping	7	29
modeling	7	79
multiple	7	19
patient	7	102
phenotype	7	18
sequence	7	96
breast	6	38
common	6	83
detecting	6	54
detection	6	59
environment	6	139
forest	6	177
haplotype	6	25
human	6	45
linkage	6	3
low	6	242
lung	6	59
prediction	6	43
related	6	64
smoking	6	126
age	5	88
analysis	5	45
causal	5	85
clinical	5	145
disease	5	48
estimate	5	128
evaluation	5	114
exposure	5	177
function	5	131
functional	5	126
generalized	5	195
genomic	5	73
health	5	183
imputation	5	83
integration	5	213
methylation	5	90
network	5	99
obesity	5	165
omics	5	224
parent	5	418
pathway	5	85
pedigree	5	36
power	5	25
random	5	139
regression	5	31
reveals	5	131
shared	5	177
specific	5	256
susceptibility	5	32
variation	5	40
array	4	345
autism	4	267
bayesian	4	47
biomarkers	4	277
blood	4	105
chromosome	4	50
combining	4	242
comparison	4	21
consortium	4	242
design	4	59
disorder	4	96
epigenome	4	652
fine	4	314
identifies	4	50
longitudinal	4	93
mendelian	4	40
mutation	4	121
origin	4	566
pressure	4	159
region	4	73
response	4	177
robust	4	165
sample	4	34
scale	4	231
statistic	4	59
structure	4	103
survival	4	159
treatment	4	242
type	4	33
variable	4	137
american	3	111
among	3	159
architecture	3	199
biobank	3	119
candidate	3	69
cell	3	189
chinese	3	481
chip	3	446
cleft	3	277
cluster	3	326
coding	3	566
cohort	3	93
combined	3	189
component	3	99
copy	3	119
count	3	566
cross	3	652
dependent	3	808
development	3	183
diabetes	3	42
event	3	392
evidence	3	66
factor	3	35
fetal	3	369
general	3	256
heart	3	71
heritability	3	99
hierarchical	3	206
high	3	199
hot	3	1562
identify	3	81
index	3	195
induced	3	920
inference	3	171
insight	3	392
investigation	3	300
joint	3	105
leveraging	3	206
linear	3	224
lipid	3	369
medicine	3	300
melanoma	3	242
microbiome	3	300
mixed	3	171
next	3	326
non	3	446
number	3	103
personalized	3	481
polygenic	3	43
polymorphism	3	28
predictive	3	277
predictor	3	566
replication	3	213
schizophrenia	3	231
score	3	20
selection	3	49
statistical	3	77
time	3	206
tool	3	171
use	3	177
variance	3	151
versus	3	418
acid	2	369
across	2	183
african	2	99
aging	2	392
algorithm	2	137
allele	2	119
amd	2	1562
ancestry	2	111
anthropometric	2	808
antidepressant	2	1274
apolipoprotein	2	1274
body	2	218
burden	2	566
calling	2	369
causing	2	1274
choosing	2	1274
colorectal	2	126
correlation	2	142
defect	2	652
detect	2	81
difference	2	256
drug	2	392
early	2	345
encoding	2	1274
epidemiological	2	808
epistasis	2	151
estimating	2	134
ethnic	2	369
etiology	2	418
explained	2	1072
explaining	2	920
explore	2	1274
expression	2	59
extended	2	213
familial	2	59
fast	2	206
framework	2	117
frequency	2	199
generation	2	231
german	2	920
giant	2	808
han	2	1562
healthy	2	418
heterogeneity	2	54
highly	2	523
identified	2	369
identifying	2	88
infant	2	920
influence	2	159
integrating	2	189
integrative	2	345
latent	2	287
linked	2	218
logistic	2	189
longevity	2	481
mass	2	224
maternal	2	242
matter	2	652
may	2	652
metabolic	2	151
one	2	369
outcome	2	177
package	2	566
pair	2	151
palate	2	1274
pattern	2	206
perinatal	2	1562
pharmacogenomics	2	1072
phenome	2	566
predicting	2	256
presence	2	114
primary	2	481
principal	2	345
probability	2	418
profile	2	326
prognosis	2	719
provides	2	608
pulmonary	2	345
randomisation	2	566
recessive	2	608
regional	2	608
regulatory	2	608
relation	2	326
renal	2	1072
research	2	446
search	2	224
secondary	2	446
sex	2	369
similarity	2	392
size	2	145
south	2	523
stratification	2	151
subset	2	392
substructure	2	719
summary	2	142
syndrome	2	131
targeted	2	392
trans	2	608
trial	2	719
trio	2	202
twin	2	392
two	2	108
underlying	2	300
within	2	277
young	2	481
450k	1	1562
8q24	1	808
accuracy	1	345
acetylcholine	1	1562
acute	1	1072
additive	1	808
adiposity	1	418
admixture	1	231
aetiology	1	1274
affected	1	114
affecting	1	1562
alcohol	1	345
allelic	1	326
allowing	1	920
alzheimers	1	151
applied	1	345
approach	1	108
appropriate	1	1562
aric	1	920
artificial	1	1072
assessing	1	267
asthma	1	151
atherosclerosis	1	719
autosomal	1	1274
base	1	1274
basis	1	920
batch	1	1274
bayes	1	481
behavior	1	566
best	1	1072
beta	1	1274
beyond	1	808
biallelic	1	1562
biliary	1	1274
binomial	1	1072
biologically	1	1562
birth	1	277
block	1	808
bmi	1	345
bp	1	1562
cad	1	1562
calculation	1	446
cardio	1	1274
cardiovascular	1	256
carlo	1	920
cataract	1	1562
challenge	1	314
characteristic	1	808
child	1	418
childhood	1	481
choice	1	719
chronic	1	392
ci	1	1274
clustered	1	1072
clustering	1	206
cnv	1	523
cnvs	1	920
collaborative	1	920
collapsing	1	1072
combination	1	523
community	1	719
composite	1	920
comprehensive	1	608
computation	1	920
concentration	1	719
conditional	1	256
conserved	1	1562
contribute	1	652
controlled	1	1562
coronary	1	137
correcting	1	523
correlated	1	300
covariates	1	256
cryptic	1	808
custom	1	1072
cystic	1	446
deep	1	446
defining	1	920
degeneration	1	920
degree	1	1274
depression	1	418
depth	1	1072
derived	1	446
detected	1	920
determinant	1	446
determination	1	1274
diagnosis	1	719
dichotomous	1	1072
differential	1	345
dimensional	1	719
discovering	1	1072
disequilibrium	1	77
dissecting	1	920
dissection	1	608
distribution	1	242
diverse	1	345
dna	1	71
driven	1	1562
dysfunction	1	1072
efficient	1	134
electronic	1	392
emerge	1	808
empirical	1	392
endometriosis	1	920
endpoint	1	1562
enriched	1	1072
enrichment	1	608
environmental	1	206
epigenetic	1	287
epilepsy	1	719
epistatic	1	369
eqtl	1	481
