Word	Frequency	Overall Rank
association	26	1
linkage	26	3
family	15	9
trait	14	6
haplotype	13	25
cancer	11	4
effect	11	8
locus	11	13
test	11	11
scan	10	59
comparison	9	21
polymorphism	9	28
snp	9	16
casecontrol	8	36
genomewide	8	7
genotype	8	22
susceptibility	8	32
breast	7	38
complex	7	17
interaction	7	5
phenotype	7	18
chromosome	6	50
gene	6	14
mapping	6	29
modeling	6	79
risk	6	2
affected	5	114
allele	5	119
design	5	59
estimation	5	64
familial	5	59
pedigree	5	36
population	5	10
power	5	25
region	5	73
regression	5	31
sample	5	34
aggregation	4	256
bias	4	142
combined	4	189
coronary	4	137
disease	4	48
disequilibrium	4	77
evidence	4	66
geneenvironment	4	40
heritability	4	99
heterogeneity	4	54
level	4	52
longitudinal	4	93
marker	4	54
model	4	22
offspring	4	523
one	4	369
prostate	4	69
strategy	4	111
analysis	3	45
application	3	24
approach	3	108
artery	3	224
ascertainment	3	287
candidate	3	69
clustering	3	206
detect	3	81
dna	3	71
french	3	256
function	3	131
genomic	3	73
identification	3	93
inheritance	3	418
ld	3	300
metaanalysis	3	75
multivariate	3	123
mutation	3	121
nuclear	3	345
parental	3	392
qtl	3	195
recombination	3	566
related	3	64
score	3	20
selection	3	49
sharing	3	199
transmission	3	231
two	3	108
american	2	111
among	2	159
beaver	2	1072
bmi	2	345
brca12	2	1072
carrier	2	446
cdkn2a	2	808
cohort	2	93
component	2	99
covariates	2	256
dam	2	1072
detecting	2	54
detection	2	59
different	2	159
distribution	2	242
efficiency	2	481
egea	2	446
error	2	134
estimate	2	128
estimating	2	134
experience	2	920
eye	2	446
factor	2	35
finescale	2	652
frequency	2	199
genegene	2	88
growth	2	392
heart	2	71
hiv1	2	1072
human	2	45
ibd	2	446
incomplete	2	1072
inference	2	171
influence	2	159
joint	2	105
large	2	81
mexican	2	608
microarray	2	566
midparent	2	1274
mining	2	523
missing	2	151
multiple	2	19
myopia	2	446
new	2	75
outcome	2	177
pair	2	151
patient	2	102
penetrance	2	418
premature	2	1274
presence	2	114
pressure	2	159
property	2	608
relation	2	326
relative	2	189
schizophrenia	2	231
sclerosis	2	369
segregation	2	171
selected	2	523
sequential	2	345
serum	2	277
sibling	2	300
size	2	145
smoking	2	126
statistic	2	59
statistical	2	77
strong	2	369
structure	2	103
subset	2	392
type	2	33
variance	2	151
variation	2	40
via	2	165
6q	1	1562
7q	1	1562
adaptive	1	345
adiposity	1	418
admixed	1	287
adult	1	314
age	1	88
agerelated	1	808
algorithm	1	137
allergic	1	920
alzheimers	1	151
analyzing	1	369
andor	1	1072
antigen	1	920
apnea	1	1274
architecture	1	199
ascertained	1	523
ass	1	418
asthma	1	151
asymptotic	1	1562
atopy	1	719
attributable	1	1562
atypical	1	1562
automated	1	719
bayesian	1	47
better	1	1274
binary	1	224
birth	1	277
block	1	808
blood	1	105
bone	1	566
calcium	1	1274
calculation	1	446
cardiovascular	1	256
care	1	1562
carotid	1	719
cataract	1	1562
causal	1	85
causality	1	1562
caused	1	1274
challenge	1	314
chinese	1	481
choice	1	719
cholesterol	1	481
cigarette	1	1072
clinical	1	145
colorectal	1	126
complement	1	1274
conclusion	1	652
conditioning	1	1562
confirmation	1	808
continuous	1	566
contribution	1	267
control	1	66
correct	1	920
correlation	1	142
cortical	1	1274
covariate	1	392
damage	1	1274
death	1	920
decision	1	920
defined	1	1562
definition	1	920
density	1	267
development	1	183
difference	1	256
dissection	1	608
diversity	1	1072
dutch	1	719
dyslexia	1	1274
em	1	1562
empirical	1	392
endometriosis	1	920
ensemble	1	719
enzyme	1	566
epistatic	1	369
evaluation	1	114
example	1	608
expression	1	59
extent	1	1072
familybased	1	114
female	1	1274
fetal	1	369
fhs	1	920
find	1	1274
finding	1	608
first	1	652
followup	1	566
forest	1	177
four	1	719
framingham	1	300
frenchcanadian	1	1274
functional	1	126
genealogical	1	1562
genedisease	1	1562
general	1	256
genotyping	1	206
german	1	920
germline	1	300
gibbs	1	808
graphical	1	523
hazard	1	1562
hepatic	1	920
history	1	242
hormone	1	920
hypertension	1	345
identifies	1	50
identifying	1	88
igf	1	1562
ii	1	920
implication	1	314
imprinting	1	369
improved	1	213
inclusion	1	1274
incorporating	1	183
increase	1	481
independent	1	418
index	1	195
infarction	1	920
infer	1	1274
inferred	1	1072
influencing	1	300
information	1	108
informative	1	481
insulin	1	345
integrated	1	418
intermediate	1	808
interplay	1	1562
intimamedia	1	1072
investigation	1	300
kidney	1	523
late	1	566
leprosy	1	920
leptin	1	1274
likelihood	1	165
linked	1	218
lipase	1	920
liver	1	481
load	1	1562
location	1	920
logistic	1	189
loss	1	719
louisiana	1	1072
lung	1	59
lupus	1	719
lymphoproliferative	1	1562
many	1	1072
marginal	1	920
mathematical	1	1562
maximum	1	418
mc1r	1	1072
mcmc	1	719
measurement	1	392
medical	1	608
melanomaprone	1	1072
member	1	1274
mexicanamerican	1	1274
middle	1	808
mineral	1	1072
minimum	1	1274
mixed	1	171
multifactorial	1	652
multipoint	1	242
myocardial	1	808
necessary	1	1562
nevus	1	1072
nucleotide	1	326
obesity	1	165
obesityrelated	1	1562
onset	1	123
optimal	1	345
ordered	1	808
ordinal	1	1072
osteoporosis	1	808
parent	1	418
pattern	1	206
perspective	1	1562
phase	1	608
phenotypic	1	418
plasma	1	213
polygenic	1	43
polyp	1	1274
pooled	1	608
powerful	1	177
predicts	1	920
prevalence	1	652
procedure	1	418
project	1	369
prospective	1	523
qualitative	1	719
quantification	1	1072
quebec	1	920
race	1	1562
racial	1	920
random	1	139
ranking	1	920
rate	1	195
ratio	1	277
reanalysis	1	1072
receptor	1	256
regulator	1	808
relationship	1	151
repair	1	481
reproductive	1	719
resampling	1	1562
resistance	1	523
resource	1	523
retrospective	1	608
review	1	652
rhinitis	1	1562
romp	1	1562
sampling	1	242
scale	1	231
screen	1	481
search	1	224
selfreported	1	1562
semiparametric	1	566
sequence	1	96
severe	1	608
sexspecific	1	446
sib	1	287
significance	1	314
simulation	1	171
single	1	195
singlelocus	1	1274
sle	1	808
sleep	1	1072
south	1	523
southern	1	1562
stoppage	1	1562
structural	1	523
successful	1	1274
tafi	1	1562
tdt	1	326
technique	1	808
thickness	1	719
treatment	1	242
trend	1	1072
triglyceride	1	608
trio	1	202
