Word	Frequency	Overall Rank
association	78	1
genomewide	43	7
interaction	32	5
variant	28	12
cancer	22	4
population	21	10
linkage	20	3
family	17	9
risk	16	2
effect	15	8
snp	14	16
test	14	11
locus	13	13
variation	13	40
common	12	83
multiple	12	19
rare	12	15
trait	12	6
region	11	73
copy	10	119
detecting	10	54
genegene	10	88
genotype	10	22
gwas	10	30
number	10	103
bayesian	9	47
casecontrol	9	36
comparison	9	21
detection	9	59
geneenvironment	9	40
regression	9	31
structure	9	103
analysis	8	45
breast	8	38
familybased	8	114
gene	8	14
human	8	45
marker	8	54
power	8	25
prostate	8	69
scan	8	59
candidate	7	69
chromosome	7	50
complex	7	17
design	7	59
disease	7	48
expression	7	59
identification	7	93
pathway	7	85
pattern	7	206
polymorphism	7	28
susceptibility	7	32
type	7	33
approach	6	108
control	6	66
epistasis	6	151
identifies	6	50
information	6	108
level	6	52
metaanalysis	6	75
modeling	6	79
application	5	24
bias	5	142
diabetes	5	42
dna	5	71
efficient	5	134
evaluation	5	114
evidence	5	66
familial	5	59
genotyping	5	206
heart	5	71
identify	5	81
inference	5	171
mutation	5	121
prediction	5	43
related	5	64
schizophrenia	5	231
statistic	5	59
strategy	5	111
tool	5	171
two	5	108
visualization	5	608
african	4	99
algorithm	4	137
allelic	4	326
ancestry	4	111
database	4	481
factor	4	35
genomic	4	73
haplotype	4	25
heterogeneity	4	54
imputation	4	83
individual	4	96
longitudinal	4	93
lung	4	59
mapping	4	29
measure	4	165
model	4	22
modelling	4	277
modification	4	719
panel	4	392
pedigree	4	36
relationship	4	151
reveals	4	131
sample	4	34
selection	4	49
sequence	4	96
sequencing	4	27
set	4	128
snpsnp	4	808
stratification	4	151
twostage	4	326
via	4	165
account	3	523
adjustment	3	566
allele	3	119
among	3	159
ascertainment	3	287
calling	3	369
carrier	3	446
caseparent	3	314
causal	3	85
cohort	3	93
colorectal	3	126
combined	3	189
conditional	3	256
correction	3	314
detect	3	81
disequilibrium	3	77
environment	3	139
environmental	3	206
evaluating	3	267
exploring	3	267
fine	3	314
following	3	920
glucose	3	523
heritability	3	99
identifying	3	88
impact	3	142
implicated	3	920
incorporating	3	183
influencing	3	300
issue	3	392
joint	3	105
large	3	81
learning	3	159
logistic	3	189
metabolic	3	151
mixed	3	171
multilocus	3	277
new	3	75
patient	3	102
penetrance	3	418
phenotype	3	18
presence	3	114
protein	3	345
quality	3	300
ranking	3	920
receptor	3	256
reference	3	326
score	3	20
segregation	3	171
size	3	145
statistical	3	77
syndrome	3	131
system	3	345
thromboembolism	3	523
treatment	3	242
venous	3	523
wholegenome	3	418
3d	2	920
ace	2	481
admixture	2	231
africanamericans	2	1072
ageatonset	2	1562
american	2	111
array	2	345
arthritis	2	242
assessing	2	267
attributable	2	1562
australian	2	1274
autism	2	267
automated	2	719
birth	2	277
bmi	2	345
cardiovascular	2	256
case	2	90
cell	2	189
characterization	2	446
cholesterol	2	481
clinical	2	145
cluster	2	326
cnv	2	523
cnvs	2	920
coefficient	2	808
comprehensive	2	608
consideration	2	808
consortium	2	242
correcting	2	523
correlation	2	142
curve	2	1072
density	2	267
descent	2	314
developing	2	1072
different	2	159
disorder	2	96
distance	2	481
dust	2	1562
estimate	2	128
estimation	2	64
extended	2	213
extreme	2	523
fasting	2	652
filter	2	719
finemapping	2	392
framework	2	117
framingham	2	300
function	2	131
generalized	2	195
generation	2	231
gold	2	1562
growth	2	392
hdl	2	481
high	2	199
