Word	Frequency	Overall Rank
association	39	1
linkage	38	3
population	16	10
cancer	15	4
family	15	9
risk	15	2
chromosome	14	50
effect	14	8
test	14	11
haplotype	11	25
locus	11	13
mapping	11	29
polymorphism	11	28
trait	11	6
genotype	10	22
genomewide	9	7
diabetes	8	42
interaction	8	5
score	8	20
snp	8	16
evidence	7	66
factor	7	35
gene	7	14
multiple	7	19
pedigree	7	36
scan	7	59
susceptibility	7	32
type	7	33
comparison	6	21
complex	6	17
phenotype	6	18
regression	6	31
application	5	24
casecontrol	5	36
estimation	5	64
heritability	5	99
insulin	5	345
isolated	5	345
level	5	52
mutation	5	121
onset	5	123
pair	5	151
qtl	5	195
selection	5	49
breast	4	38
detection	4	59
disequilibrium	4	77
estimating	4	134
familial	4	59
genetically	4	523
heterogeneity	4	54
information	4	108
large	4	81
lung	4	59
marker	4	54
power	4	25
prostate	4	69
rate	4	195
region	4	73
age	3	88
alzheimers	3	151
apoe	3	523
applied	3	345
ascertainment	3	287
bipolar	3	392
blood	3	105
candidate	3	69
colorectal	3	126
correction	3	314
detect	3	81
different	3	159
disease	3	48
disorder	3	96
dissection	3	608
dutch	3	719
evaluation	3	114
extended	3	213
familybased	3	114
genomic	3	73
heart	3	71
human	3	45
ibd	3	446
influence	3	159
inheritance	3	418
ld	3	300
localization	3	481
major	3	213
mdr	3	719
mode	3	1274
obesity	3	165
parkinson	3	418
pressure	3	159
pvalues	3	608
related	3	64
relative	3	189
response	3	177
sample	3	34
search	3	224
sibling	3	300
statistic	3	59
statistical	3	77
subset	3	392
survival	3	159
underlying	3	300
use	3	177
accurate	2	418
ad	2	1274
adiponectin	2	920
affected	2	114
aggregation	2	256
analysis	2	45
arthritis	2	242
ashkenazi	2	1274
asthma	2	151
bias	2	142
case	2	90
ceph	2	1274
codon	2	1274
component	2	99
conditional	2	256
confirmation	2	808
control	2	66
coronary	2	137
correlated	2	300
correlation	2	142
covariate	2	392
definition	2	920
design	2	59
efficient	2	134
error	2	134
estimate	2	128
european	2	326
founder	2	608
frequency	2	199
geneenvironment	2	40
genegene	2	88
genotyping	2	206
glucose	2	523
hereditary	2	481
high	2	199
identifying	2	88
imprinting	2	369
independent	2	418
individual	2	96
inference	2	171
informative	2	481
jewish	2	1562
likelihood	2	165
lod	2	446
logistic	2	189
low	2	242
lymphoma	2	920
maternal	2	242
modeling	2	79
modelling	2	277
mortality	2	481
msh2	2	1562
multilocus	2	277
multivariate	2	123
myocardial	2	808
myopia	2	446
new	2	75
newfoundland	2	1274
ordered	2	808
osteoporosis	2	808
pathway	2	85
penetrance	2	418
phenotypic	2	418
plasma	2	213
pleiotropic	2	300
populationbased	2	231
presence	2	114
probability	2	418
property	2	608
protective	2	808
regulatory	2	608
residual	2	808
resistance	2	523
rheumatoid	2	242
robust	2	165
sampling	2	242
screening	2	256
segregation	2	171
selected	2	523
semiparametric	2	566
sharing	2	199
sib	2	287
simulation	2	171
smoking	2	126
syndrome	2	131
tafi	2	1562
taiwan	2	1274
three	2	481
trio	2	202
twin	2	392
two	2	108
twostage	2	326
utah	2	719
variable	2	137
variant	2	12
versus	2	418
via	2	165
weighting	2	1072
15q21	1	1562
7q	1	1562
ability	1	920
account	1	523
accounting	1	267
ace	1	481
adaptive	1	345
additional	1	1072
adiposity	1	418
adjustment	1	566
admixture	1	231
affect	1	1274
affective	1	1274
aggressiveness	1	1562
alcoholism	1	1072
algorithm	1	137
allele	1	119
allelic	1	326
allergic	1	920
alzheimer	1	267
american	1	111
amish	1	481
among	1	159
analytic	1	719
ancestry	1	111
anemia	1	1274
angiotensin	1	1562
approach	1	108
appropriate	1	1562
ascertained	1	523
ass	1	418
assessing	1	267
australian	1	1274
autism	1	267
autoimmune	1	1072
bayesian	1	47
beta	1	1274
binary	1	224
bonferroni	1	1562
brca12	1	1072
carotid	1	719
carrier	1	446
caucasian	1	418
causative	1	1562
cdkn2a	1	808
challenge	1	314
channel	1	1274
characterizing	1	920
chinese	1	481
chromosomal	1	608
chronic	1	392
classification	1	369
cluster	1	326
clustering	1	206
coagulation	1	1562
coding	1	566
cognitive	1	523
cohort	1	93
combining	1	242
common	1	83
comparative	1	1274
condition	1	719
conserved	1	1562
construction	1	719
continuous	1	566
contribution	1	267
cortisol	1	1562
cough	1	1562
covariatebased	1	1274
covariates	1	256
cystic	1	446
dataset	1	1274
death	1	920
decline	1	1072
defining	1	920
density	1	267
detecting	1	54
development	1	183
diabetic	1	719
differential	1	345
dimensionality	1	300
dissecting	1	920
diverse	1	345
dyslexia	1	1274
dystrophy	1	808
early	1	345
east	1	1562
efficacy	1	1562
efficiency	1	481
egea	1	446
empirical	1	392
endometriosis	1	920
entropy	1	1072
environment	1	139
environmental	1	206
enzyme	1	566
epistasis	1	151
equilibrium	1	566
era	1	1072
erythematosus	1	920
estimator	1	808
ethnicity	1	1072
etiology	1	418
exact	1	608
excess	1	719
experiment	1	808
exposure	1	177
expression	1	59
extending	1	1072
extension	1	418
extent	1	1072
false	1	481
fat	1	808
fibrosis	1	287
finding	1	608
finland	1	808
french	1	256
function	1	131
functional	1	126
gain	1	920
gee	1	1562
genotypephenotype	1	808
german	1	920
germline	1	300
graphical	1	523
group	1	314
hapmap	1	719
hardyweinberg	1	523
hdl	1	481
heritabilities	1	1562
heritable	1	1274
heritage	1	1562
highly	1	523
highorder	1	1072
hla	1	256
hormone	1	920
hypergen	1	1072
hypertensive	1	920
identification	1	93
identified	1	369
identifies	1	50
ii	1	920
illness	1	1562
immune	1	566
immunity	1	1072
impact	1	142
impaired	1	1562
implementation	1	808
importance	1	652
incident	1	920
inclusion	1	1274
incorporating	1	183
increase	1	481
increased	1	566
individualspecific	1	1274
induced	1	920
infarction	1	920
inferred	1	1072
influencing	1	300
influenza	1	1562
inform	1	1562
inhibitor	1	1562
innate	1	1274
interacts	1	1274
intimamedia	1	1072
intrafamilial	1	1562
involving	1	1072
iron	1	1072
ischemic	1	1562
isolate	1	808
kindred	1	1562
knowledge	1	481
known	1	446
late	1	566
latent	1	287
ldl	1	1274
leg	1	1562
leprosy	1	920
lifestyle	1	1072
likelihoodbased	1	808
lipid	1	369
lipoprotein	1	566
load	1	1562
location	1	920
longitudinal	1	93
lupus	1	719
lymphoproliferative	1	1562
mantel	1	920
map	1	369
matched	1	920
mcmc	1	719
mean	1	1274
measured	1	566
meet	1	1072
member	1	1274
metaanalysis	1	75
metabolic	1	151
metabolism	1	523
mexican	1	608
microarray	1	566
midparent	1	1274
missing	1	151
mod	1	1072
model	1	22
modelfree	1	920
modified	1	808
modifier	1	326
modify	1	1562
molecular	1	345
multiallelic	1	1274
multifactor	1	326
multimarker	1	608
multiplex	1	418
multipoint	1	242
muscle	1	1072
muscular	1	1072
nhlbi	1	608
nigerian	1	1274
nimh	1	1562
nonrandom	1	920
normal	1	719
npl	1	1562
offspring	1	523
one	1	369
optimal	1	345
osteoarthritis	1	719
ovarian	1	392
p53	1	1562
parental	1	392
parentoforigin	1	446
participant	1	808
pattern	1	206
permutation	1	608
pharmacogenomics	1	1072
phase	1	608
polyp	1	1274
pooling	1	1562
positive	1	446
posterior	1	1274
potential	1	314
powerful	1	177
predicting	1	256
prediction	1	43
predictor	1	566
primary	1	481
prior	1	446
promoter	1	566
propensity	1	719
proportion	1	652
protein	1	345
puerto	1	1274
pulse	1	1562
qtls	1	719
quebec	1	920
rapid	1	719
recent	1	808
recessive	1	608
reduce	1	808
reduction	1	218
reference	1	326
registry	1	719
regressionbased	1	652
regulation	1	719
relation	1	326
replication	1	213
report	1	1072
resampling	1	1562
resolution	1	1274
respect	1	1072
resting	1	1562
rhinitis	1	1562
robustness	1	808
romp	1	1562
schizophrenia	1	231
screen	1	481
secondary	1	446
selecting	1	920
sequence	1	96
sequential	1	345
serum	1	277
sex	1	369
sexspecific	1	446
show	1	652
sibpairs	1	1072
sibships	1	719
signal	1	218
similarity	1	392
simple	1	481
single	1	195
size	1	145
skeletal	1	1274
skin	1	1562
sle	1	808
specific	1	256
sporadic	1	920
stochastic	1	566
strategy	1	111
stratification	1	151
stratified	1	392
stroke	1	920
strong	1	369
structural	1	523
structure	1	103
subject	1	345
subtypes	1	566
suggests	1	1274
support	1	1274
symptom	1	523
systemic	1	808
tag	1	1562
tagging	1	1274
thickness	1	719
tolerance	1	1562
tool	1	171
transmission	1	231
transmissiondisequilibrium	1	719
trend	1	1072
triglyceride	1	608
tumor	1	523
unaffected	1	1562
unbiased	1	1072
unknown	1	808
unobserved	1	1562
unphased	1	920
usefulness	1	1562
validation	1	719
variance	1	151
variation	1	40
weight	1	287
whole	1	69
world	1	1274
year	1	1274
young	1	481
