Word	Frequency	Overall Rank
family	16	9
linkage	10	3
onset	9	123
cancer	7	4
age	5	88
chromosome	5	50
gene	5	14
trait	5	6
association	4	1
disorder	4	96
geneenvironment	4	40
interaction	4	5
model	4	22
behavior	3	566
canc	3	1562
colorectal	3	126
component	3	99
early	3	345
familial	3	59
hla	3	256
pair	3	151
phenotype	3	18
regression	3	31
segregation	3	171
sib	3	287
size	3	145
test	3	11
affective	2	1274
allele	2	119
bipolar	2	392
bivariate	2	481
breast	2	38
casecontrol	2	36
class	2	369
clinical	2	145
correlation	2	142
design	2	59
disease	2	48
epidemiologic	2	808
evidence	2	66
factor	2	35
fraction	2	1562
frequency	2	199
gibbs	2	808
history	2	242
human	2	45
incorporation	2	719
inheritance	2	418
likelihood	2	165
linked	2	218
lipoprotein	2	566
logistic	2	189
lp	2	1562
marker	2	54
maximum	2	418
measure	2	165
measured	2	566
mortality	2	481
new	2	75
obesity	2	165
pedigree	2	36
populationbased	2	231
power	2	25
putative	2	652
related	2	64
sampling	2	242
sibpair	2	300
six	2	1274
smoking	2	126
syndrome	2	131
variable	2	137
absence	1	1274
accurate	1	418
ad	1	1274
address	1	920
affected	1	114
africanamerican	1	523
alzheimer	1	267
analysis	1	45
analytic	1	719
analyzing	1	369
application	1	24
ascertained	1	523
ass	1	418
asthma	1	151
attention	1	1562
atypical	1	1562
autism	1	267
bias	1	142
binomial	1	1072
birth	1	277
body	1	218
brca2	1	808
calculation	1	446
carrier	1	446
cause	1	566
child	1	418
cholesterol	1	481
cleft	1	277
comparison	1	21
complex	1	17
computational	1	719
conditional	1	256
confirmation	1	808
congenital	1	566
continuous	1	566
contribution	1	267
cross	1	652
death	1	920
deficit	1	1562
definition	1	920
density	1	267
detect	1	81
determining	1	1072
dichotomous	1	1072
different	1	159
discordant	1	1274
distance	1	481
dutch	1	719
effect	1	8
efficiency	1	481
efficient	1	134
environmental	1	206
epidemiological	1	808
epilepsy	1	719
epistatic	1	369
equation	1	481
erythematosus	1	920
estimate	1	128
estimating	1	134
estimation	1	64
ethnic	1	369
explaining	1	920
extreme	1	523
extremely	1	1562
future	1	719
generalized	1	195
genomic	1	73
genotype	1	22
genotypephenotype	1	808
germline	1	300
group	1	314
hdl	1	481
hereditary	1	481
heterogeneity	1	54
highdensity	1	920
hypothesis	1	608
identification	1	93
identified	1	369
identify	1	81
ii	1	920
index	1	195
indication	1	1562
influence	1	159
initiative	1	1072
insulin	1	345
interest	1	920
isolated	1	345
issue	1	392
juvenile	1	1072
large	1	81
late	1	566
ldl	1	1274
level	1	52
linear	1	224
localization	1	481
locate	1	1274
locus	1	13
longterm	1	1274
lowdensity	1	1562
lung	1	59
lupus	1	719
map	1	369
mass	1	224
minimum	1	1274
missing	1	151
mixed	1	171
multiple	1	19
multiplex	1	418
multipoint	1	242
myoclonic	1	1562
nimh	1	1562
nuclear	1	345
obese	1	1562
oligogenic	1	920
oral	1	392
outcome	1	177
pancreatic	1	392
penetrance	1	418
person	1	1562
perspective	1	1562
polyp	1	1274
population	1	10
predicting	1	256
predisposing	1	920
presence	1	114
probability	1	418
probands	1	719
ratio	1	277
recessive	1	608
recombination	1	566
region	1	73
resistance	1	523
revisited	1	808
rheumatoid	1	242
robust	1	165
sample	1	34
schizophrenia	1	231
screen	1	481
screening	1	256
selfreported	1	1562
severe	1	608
severity	1	523
sibship	1	1274
sibships	1	719
sle	1	808
studying	1	1072
survival	1	159
susceptibility	1	32
symptom	1	523
systemic	1	808
tdt	1	326
transmissiondisequilibrium	1	719
trend	1	1072
triglyceride	1	608
tumor	1	523
twin	1	392
two	1	108
twolocus	1	719
use	1	177
usefulness	1	1562
variance	1	151
view	1	1274
within	1	277
without	1	481
