Word	Frequency	Overall Rank
linkage	14	3
cancer	10	4
interaction	6	5
family	5	9
trait	5	6
heterogeneity	4	54
locus	4	13
test	4	11
association	3	1
chromosome	3	50
disease	3	48
environment	3	139
genomewide	3	7
lung	3	59
pair	3	151
power	3	25
region	3	73
segregation	3	171
affected	2	114
alcohol	2	345
breast	2	38
colorectal	2	126
comparison	2	21
complex	2	17
design	2	59
detect	2	81
disequilibrium	2	77
effect	2	8
geneenvironment	2	40
genegene	2	88
haplotype	2	25
hepatitis	2	652
hereditary	2	481
infection	2	224
joint	2	105
likelihood	2	165
mapping	2	29
multiple	2	19
pedigree	2	36
phenotype	2	18
polymorphism	2	28
presence	2	114
prostate	2	69
risk	2	2
sample	2	34
scan	2	59
set	2	128
sib	2	287
sibling	2	300
statistic	2	59
susceptibility	2	32
acid	1	369
activity	1	719
adjusted	1	523
african	1	99
age	1	88
ageofonset	1	1274
allelesharing	1	1072
american	1	111
arthritis	1	242
ascertainment	1	287
automated	1	719
biological	1	314
brazilian	1	1072
brca1	1	808
brca2	1	808
calculation	1	446
carcinoma	1	481
cardiac	1	808
casecontrol	1	36
caucasian	1	418
cause	1	566
causing	1	1274
cell	1	189
chromosomal	1	608
classifying	1	1274
cleft	1	277
colon	1	523
complete	1	1274
component	1	99
comprehensive	1	608
computing	1	920
consanguinity	1	1562
control	1	66
decision	1	920
dependence	1	920
detecting	1	54
detection	1	59
disturbance	1	1562
dna	1	71
enhances	1	1562
environmental	1	206
epidemiology	1	231
excess	1	719
exercise	1	1274
factor	1	35
familial	1	59
familybased	1	114
fatty	1	608
fchl	1	1274
fhs	1	920
finescale	1	652
finnish	1	1562
free	1	719
functional	1	126
gene	1	14
genotype	1	22
genotyping	1	206
group	1	314
gxe	1	652
heart	1	71
hepatocellular	1	1274
heritage	1	1562
heterozygote	1	1562
hierarchical	1	206
hla	1	256
homozygous	1	1562
hypergen	1	1072
identifies	1	50
impact	1	142
improved	1	213
inbred	1	1274
incomplete	1	1072
incorporating	1	183
index	1	195
insulin	1	345
integrating	1	189
interest	1	920
investigate	1	418
investigation	1	300
invited	1	1072
involving	1	1072
kidney	1	523
location	1	920
lod	1	446
logistic	1	189
magnitude	1	1562
making	1	1562
map	1	369
marker	1	54
maximum	1	418
may	1	652
mcmc	1	719
metaanalysis	1	75
missing	1	151
modeling	1	79
molecular	1	345
multifactorial	1	652
multipoint	1	242
multivariate	1	123
mutation	1	121
nat2	1	1562
neoplasia	1	1072
new	1	75
nhlbi	1	608
nuclear	1	345
nucleotide	1	326
obesityrelated	1	1562
one	1	369
onset	1	123
optimized	1	1562
oral	1	392
ovarian	1	392
parameter	1	446
patient	1	102
prevalence	1	652
problem	1	523
rate	1	195
related	1	64
repair	1	481
requirement	1	1274
resampling	1	1562
respiratory	1	1274
rheumatoid	1	242
role	1	189
score	1	20
screening	1	256
sensitivity	1	1274
sequential	1	345
sharing	1	199
sibpair	1	300
sibship	1	1274
sibships	1	719
simulation	1	171
single	1	195
size	1	145
small	1	523
smoking	1	126
space	1	1072
statistical	1	77
stochastic	1	566
strategy	1	111
structural	1	523
survival	1	159
tdt	1	326
threshold	1	652
training	1	920
transmission	1	231
variable	1	137
variance	1	151
variation	1	40
versus	1	418
virus	1	481
without	1	481
