Word	Frequency	Overall Rank
linkage	24	3
association	14	1
trait	14	6
family	11	9
gene	11	14
population	9	10
effect	8	8
factor	8	35
test	8	11
evidence	7	66
interaction	7	5
mapping	7	29
cancer	6	4
complex	6	17
component	6	99
disequilibrium	6	77
locus	6	13
power	6	25
scan	6	59
variance	6	151
disease	5	48
influence	5	159
model	5	22
polymorphism	5	28
tdt	5	326
affected	4	114
comparison	4	21
conditional	4	256
estimation	4	64
familial	4	59
haplotype	4	25
heart	4	71
level	4	52
marker	4	54
pair	4	151
regression	4	31
relative	4	189
shared	4	177
susceptibility	4	32
two	4	108
american	3	111
arthritis	3	242
binary	3	224
blood	3	105
breast	3	38
class	3	369
detecting	3	54
disorder	3	96
evaluating	3	267
false	3	481
frequency	3	199
geneenvironment	3	40
genotype	3	22
hla	3	256
il4	3	1562
logistic	3	189
major	3	213
mexican	3	608
multipoint	3	242
pedigree	3	36
populationbased	3	231
rate	3	195
risk	3	2
segregation	3	171
sibpair	3	300
strategy	3	111
transmission	3	231
variation	3	40
ace	2	481
africa	2	1072
aggregation	2	256
alcoholism	2	1072
algorithm	2	137
allele	2	119
allelic	2	326
application	2	24
brca1	2	808
candidate	2	69
casecontrol	2	36
cigarette	2	1072
cleft	2	277
cluster	2	326
combined	2	189
correlation	2	142
covariates	2	256
detection	2	59
diabetes	2	42
distribution	2	242
dna	2	71
enzyme	2	566
epidemiology	2	231
estimate	2	128
evaluation	2	114
extension	2	418
fat	2	808
genegene	2	88
genomewide	2	7
hasemanelston	2	719
human	2	45
identify	2	81
identifying	2	88
inference	2	171
information	2	108
latent	2	287
likelihood	2	165
link	2	652
maternal	2	242
measured	2	566
metaanalysis	2	75
mismatch	2	920
multifactorial	2	652
mutation	2	121
new	2	75
nonsyndromic	2	1072
oral	2	392
phenotype	2	18
pressure	2	159
receptor	2	256
region	2	73
regressionbased	2	652
relation	2	326
relationship	2	151
repair	2	481
response	2	177
rheumatoid	2	242
search	2	224
sib	2	287
sibling	2	300
smoking	2	126
