Word	Frequency	Overall Rank
association	57	1
linkage	33	3
trait	21	6
family	20	9
interaction	15	5
test	15	11
genomewide	14	7
haplotype	14	25
population	14	10
snp	14	16
cancer	12	4
mapping	12	29
risk	12	2
effect	11	8
locus	11	13
pedigree	11	36
casecontrol	10	36
comparison	9	21
gene	9	14
statistic	9	59
case	8	90
complex	8	17
detect	8	81
genotype	8	22
multiple	8	19
polymorphism	8	28
power	8	25
candidate	7	69
diabetes	7	42
factor	7	35
heart	7	71
phenotype	7	18
sample	7	34
scan	7	59
selection	7	49
age	6	88
analysis	6	45
application	6	24
combined	6	189
control	6	66
detection	6	59
error	6	134
heterogeneity	6	54
level	6	52
multivariate	6	123
presence	6	114
relationship	6	151
replication	6	213
type	6	33
affected	5	114
breast	5	38
familial	5	59
human	5	45
korean	5	608
likelihood	5	165
marker	5	54
metabolic	5	151
missing	5	151
onset	5	123
prostate	5	69
regression	5	31
sharing	5	199
allele	4	119
amish	4	481
bayesian	4	47
coronary	4	137
density	4	267
disequilibrium	4	77
epistasis	4	151
estimation	4	64
geneenvironment	4	40
genegene	4	88
general	4	256
heritability	4	99
identifying	4	88
index	4	195
information	4	108
interacting	4	808
model	4	22
modeling	4	79
multipoint	4	242
populationbased	4	231
qtl	4	195
relative	4	189
set	4	128
strategy	4	111
stratification	4	151
susceptibility	4	32
syndrome	4	131
use	4	177
aggregation	3	256
allelic	3	326
alternative	3	287
artery	3	224
asthma	3	151
chromosome	3	50
cluster	3	326
common	3	83
component	3	99
covariates	3	256
design	3	59
dimensionality	3	300
efficient	3	134
environmental	3	206
epistatic	3	369
equilibrium	3	566
estimating	3	134
evidence	3	66
extension	3	418
familybased	3	114
hypertension	3	345
identification	3	93
inference	3	171
large	3	81
learning	3	159
logistic	3	189
longitudinal	3	93
lung	3	59
multifactor	3	326
new	3	75
number	3	103
pair	3	151
plasma	3	213
polygenic	3	43
powerful	3	177
predisposition	3	566
pressure	3	159
ratio	3	277
reduction	3	218
response	3	177
robust	3	165
score	3	20
screen	3	481
structure	3	103
tool	3	171
true	3	808
variant	3	12
woman	3	189
adiponectin	2	920
admixed	2	287
algorithm	2	137
allowing	2	920
ancestral	2	920
apnea	2	1274
applied	2	345
approach	2	108
ascertainment	2	287
assessment	2	481
bias	2	142
bioinformatics	2	808
blood	2	105
bone	2	566
caucasian	2	418
characteristic	2	808
clinical	2	145
cohort	2	93
colon	2	523
community	2	719
composite	2	920
copy	2	119
correction	2	314
correlated	2	300
correlation	2	142
dense	2	719
derived	2	446
descent	2	314
detecting	2	54
development	2	183
discovery	2	165
early	2	345
egea	2	446
enzyme	2	566
estimate	2	128
evaluation	2	114
exposure	2	177
extended	2	213
fasting	2	652
fenofibrate	2	1562
free	2	719
frequency	2	199
generalized	2	195
genotyping	2	206
hdl	2	481
hepatic	2	920
highrisk	2	652
hla	2	256
homocysteine	2	1274
identify	2	81
impact	2	142
incident	2	920
individual	2	96
influence	2	159
influencing	2	300
initiative	2	1072
intermediate	2	808
latent	2	287
ld	2	300
machine	2	242
mantel	2	920
mass	2	224
measurement	2	392
men	2	326
meta	2	159
modelling	2	277
molecular	2	345
multilocus	2	277
multimarker	2	608
mutation	2	121
nuclear	2	345
obesity	2	165
old	2	1274
order	2	523
parameter	2	446
