Word	Frequency	Overall Rank
association	44	1
linkage	42	3
effect	21	8
trait	21	6
haplotype	20	25
family	19	9
cancer	17	4
locus	15	13
interaction	14	5
population	12	10
risk	12	2
mapping	10	29
phenotype	10	18
genomewide	9	7
model	9	22
polymorphism	9	28
snp	9	16
casecontrol	8	36
comparison	8	21
complex	8	17
familybased	8	114
gene	8	14
pedigree	8	36
scan	8	59
score	8	20
test	8	11
power	7	25
statistic	7	59
breast	6	38
evidence	6	66
heritability	6	99
marker	6	54
multipoint	6	242
qtl	6	195
admixture	5	231
affected	5	114
analysis	5	45
component	5	99
diabetes	5	42
disequilibrium	5	77
error	5	134
estimate	5	128
estimating	5	134
familial	5	59
identification	5	93
large	5	81
multiple	5	19
related	5	64
susceptibility	5	32
type	5	33
age	4	88
candidate	4	69
detecting	4	54
estimation	4	64
factor	4	35
genomic	4	73
likelihood	4	165
lod	4	446
map	4	369
metaanalysis	4	75
modeling	4	79
new	4	75
pair	4	151
problem	4	523
prostate	4	69
rate	4	195
region	4	73
screening	4	256
similarity	4	392
structure	4	103
weight	4	287
young	4	481
alzheimer	3	267
approach	3	108
binary	3	224
bivariate	3	481
bone	3	566
calculation	3	446
case	3	90
chromosome	3	50
classical	3	1274
clustering	3	206
combined	3	189
covariates	3	256
design	3	59
distribution	3	242
efficiency	3	481
environmental	3	206
framework	3	117
genegene	3	88
genotyping	3	206
heart	3	71
heterogeneity	3	54
missing	3	151
mitochondrial	3	345
multilocus	3	277
mutation	3	121
pattern	3	206
presence	3	114
relative	3	189
sample	3	34
sampling	3	242
segregation	3	171
selection	3	49
set	3	128
sib	3	287
software	3	242
strategy	3	111
syndrome	3	131
trio	3	202
twin	3	392
variance	3	151
acid	2	369
across	2	183
advantage	2	1274
african	2	99
algorithm	2	137
among	2	159
application	2	24
applied	2	345
bayesian	2	47
bias	2	142
birth	2	277
block	2	808
body	2	218
cardiovascular	2	256
caseparent	2	314
censored	2	566
cleft	2	277
common	2	83
conditional	2	256
continuous	2	566
control	2	66
correction	2	314
correlated	2	300
correlation	2	142
coverage	2	719
density	2	267
detect	2	81
development	2	183
dna	2	71
egea	2	446
em	2	1562
emergence	2	1562
epidemiology	2	231
estrogen	2	920
evaluating	2	267
evaluation	2	114
examination	2	1072
exposure	2	177
extended	2	213
false	2	481
framingham	2	300
free	2	719
french	2	256
genotype	2	22
growth	2	392
hasemanelston	2	719
hdlcholesterol	2	1562
height	2	808
high	2	199
hispanic	2	608
hypertensive	2	920
impact	2	142
implication	2	314
improved	2	213
imputation	2	83
incorporating	2	183
inference	2	171
influence	2	159
information	2	108
interpreting	2	1072
involved	2	719
left	2	566
leptin	2	1274
level	2	52
linked	2	218
local	2	369
longevity	2	481
longitudinal	2	93
lung	2	59
maximum	2	418
may	2	652
measure	2	165
mendelian	2	40
modelbased	2	652
modelfree	2	920
molecular	2	345
multivariate	2	123
nonsyndromic	2	1072
null	2	920
obesity	2	165
optimal	2	345
oral	2	392
parameter	2	446
parental	2	392
pathway	2	85
populationbased	2	231
posterior	2	1274
powerful	2	177
pressure	2	159
probands	2	719
project	2	369
ratio	2	277
receptor	2	256
regression	2	31
relation	2	326
relationship	2	151
retrospective	2	608
scale	2	231
semiparametric	2	566
sequential	2	345
serum	2	277
sharing	2	199
sibling	2	300
signal	2	218
simple	2	481
simulation	2	171
single	2	195
stratification	2	151
subpopulation	2	1274
tree	2	446
triad	2	920
two	2	108
twolocus	2	719
uncertainty	2	719
value	2	300
variant	2	12
variation	2	40
ventricular	2	719
whole	2	69
within	2	277
woman	2	189
15q21	1	1562
3d	1	920
account	1	523
accuracy	1	345
activity	1	719
additive	1	808
adiposity	1	418
admixed	1	287
advanced	1	1562
aetiology	1	1274
africanamerican	1	523
africanamericans	1	1072
ageofonset	1	1274
aging	1	392
agreement	1	1562
alcohol	1	345
allelic	1	326
allowing	1	920
alternative	1	287
alzheimers	1	151
american	1	111
amish	1	481
analytical	1	1274
ancestry	1	111
andor	1	1072
anomaly	1	1072
antonio	1	920
aortic	1	1562
arbitrary	1	1274
architecture	1	199
aric	1	920
arthritis	1	242
assessing	1	267
asthma	1	151
asthmarelated	1	920
asymptotic	1	1562
atherosclerosis	1	719
autoimmune	1	1072
beaver	1	1072
benefit	1	920
biallelic	1	1562
blood	1	105
carcinoma	1	481
cardiac	1	808
cataract	1	1562
categorical	1	1562
caucasian	1	418
causal	1	85
cdkn2a	1	808
centenarian	1	1562
chain	1	1072
characteristic	1	808
characterization	1	446
chd	1	1274
choice	1	719
chromosomal	1	608
classification	1	369
cluster	1	326
cognitive	1	523
cohort	1	93
combination	1	523
combine	1	1562
combining	1	242
community	1	719
competing	1	1274
complication	1	1274
composition	1	920
comprehensive	1	608
computational	1	719
computing	1	920
condition	1	719
confounders	1	1274
confounding	1	608
consanguinity	1	1562
consequence	1	920
conserved	1	1562
context	1	566
contribution	1	267
controlling	1	719
cord	1	1274
cortical	1	1274
dam	1	1072
database	1	481
dataset	1	1274
death	1	920
defined	1	1562
defining	1	920
dependent	1	808
depression	1	418
descent	1	314
determinant	1	446
determining	1	1072
diagnosis	1	719
differential	1	345
dimensionality	1	300
dimorphism	1	1274
discovery	1	165
discriminant	1	1274
disease	1	48
disorder	1	96
dissecting	1	920
dissection	1	608
distance	1	481
distinct	1	1072
drug	1	392
dutch	1	719
endometriosis	1	920
endophenotype	1	1562
endpoint	1	1562
environment	1	139
enzyme	1	566
epidemiological	1	808
epistasis	1	151
epistatic	1	369
equation	1	481
equilibrium	1	566
ethnic	1	369
exact	1	608
exploring	1	267
expression	1	59
extension	1	418
eye	1	446
facial	1	808
fatty	1	608
fbat	1	1274
fetal	1	369
fhs	1	920
finemapping	1	392
first	1	652
flexible	1	608
following	1	920
forest	1	177
frenchcanadian	1	1274
gain	1	920
gamma	1	1562
genedisease	1	1562
generalized	1	195
generate	1	1274
genetically	1	523
germline	1	300
gibbs	1	808
group	1	314
haplotypeenvironment	1	1562
hapmap	1	719
heterozygosity	1	1072
hierarchical	1	206
highrisk	1	652
history	1	242
hotspot	1	1072
human	1	45
hypothesis	1	608
ibd	1	446
identity	1	523
illumina	1	719
imaging	1	1072
importance	1	652
improving	1	608
incidence	1	1274
including	1	1562
incomplete	1	1072
incorporation	1	719
indication	1	1562
infection	1	224
influencing	1	300
informative	1	481
instability	1	1562
instrumental	1	1072
insulin	1	345
integrated	1	418
