Word,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
association,0.009111617312072893,0.006060606060606061,0.016587677725118485,0.006224066390041493,0.008522727272727272,0.019087136929460582,0.026052104208416832,0.028118240807498196,0.029749830966869506,0.037648612945838836,0.04296875,0.04321404456448346,0.037919299951385516,0.0498960498960499,0.035422343324250684,0.04153354632587859,0.04059040590405904,0.029411764705882353,0.03708609271523179,0.03331067301155676,0.024356297842727904,0.02572347266881029,0.029959514170040485,0.02336448598130841,0.02204724409448819,0.017942583732057416,0.016093635698610095
risk,0.0,0.024242424242424242,0.0035545023696682463,0.004149377593360996,0.005681818181818182,0.004979253112033195,0.006012024048096192,0.010814708002883922,0.008113590263691683,0.007926023778071334,0.01015625,0.008102633355840648,0.007778317938745746,0.007276507276507277,0.010899182561307902,0.008306709265175719,0.006457564575645757,0.012352941176470587,0.00728476821192053,0.017675050985723997,0.014613778705636743,0.013665594855305467,0.021052631578947368,0.018691588785046728,0.023622047244094488,0.02631578947368421,0.019751280175566936
linkage,0.022779043280182234,0.03333333333333333,0.02843601895734597,0.03941908713692946,0.03977272727272727,0.024896265560165973,0.026052104208416832,0.0273972602739726,0.028397565922920892,0.021796565389696168,0.02265625,0.015530047265361242,0.009722897423432183,0.004158004158004158,0.008174386920980926,0.007028753993610224,0.0027675276752767526,0.0035294117647058825,0.006622516556291391,0.0013596193065941536,0.0020876826722338203,0.003215434083601286,0.0016194331983805667,0.0,0.0,0.0017942583732057417,0.001463057790782736
cancer,0.015945330296127564,0.021212121212121213,0.0071090047393364926,0.011410788381742738,0.028409090909090908,0.010788381742738589,0.011022044088176353,0.010814708002883922,0.011494252873563218,0.007926023778071334,0.00546875,0.010803511141120865,0.0106951871657754,0.009875259875259876,0.01430517711171662,0.012140575079872205,0.00922509225092251,0.009411764705882352,0.008609271523178808,0.008157715839564922,0.009742519137091163,0.011254019292604502,0.01700404858299595,0.019470404984423675,0.011023622047244094,0.016148325358851676,0.0073152889539136795
interaction,0.009111617312072893,0.006060606060606061,0.008293838862559242,0.01037344398340249,0.017045454545454544,0.010788381742738589,0.0070140280561122245,0.005767844268204758,0.009465855307640297,0.009907529722589167,0.00703125,0.014179608372721135,0.015556635877491492,0.017671517671517672,0.01226158038147139,0.016613418530351438,0.00922509225092251,0.01,0.010596026490066225,0.012236573759347382,0.006263048016701462,0.012057877813504822,0.009716599190283401,0.011682242990654205,0.005511811023622047,0.007177033492822967,0.0036576444769568397
trait,0.011389521640091117,0.012121212121212121,0.016587677725118485,0.00933609958506224,0.014204545454545454,0.007468879668049793,0.014028056112224449,0.007930785868781542,0.014198782961460446,0.013870541611624834,0.0109375,0.007427413909520594,0.00583373845405931,0.010914760914760915,0.005449591280653951,0.007028753993610224,0.00922509225092251,0.007058823529411765,0.017880794701986755,0.008837525492861998,0.011830201809324982,0.012057877813504822,0.006477732793522267,0.005451713395638629,0.008661417322834646,0.01375598086124402,0.008046817849305048
genomewide,0.0,0.0030303030303030303,0.002369668246445498,0.002074688796680498,0.008522727272727272,0.005809128630705394,0.008016032064128256,0.006488824801730353,0.006085192697768763,0.009247027741083224,0.0203125,0.018906144496961513,0.020904229460379193,0.02130977130977131,0.014986376021798364,0.014057507987220448,0.017527675276752766,0.000588235294117647,0.010596026490066225,0.010876954452753228,0.012526096033402923,0.0,0.0008097165991902834,0.0,0.010236220472440945,0.005980861244019139,0.005852231163130944
effect,0.002277904328018223,0.0030303030303030303,0.009478672985781991,0.014522821576763486,0.005681818181818182,0.00995850622406639,0.011022044088176353,0.010093727469358327,0.014198782961460446,0.00726552179656539,0.00703125,0.01012829169480081,0.007292173067574137,0.008316008316008316,0.006811989100817439,0.006389776357827476,0.00922509225092251,0.010588235294117647,0.01390728476821192,0.007477906186267845,0.009046624913013222,0.007234726688102894,0.005668016194331984,0.010903426791277258,0.007874015748031496,0.009569377990430622,0.008046817849305048
family,0.03644646924829157,0.024242424242424242,0.013033175355450236,0.01037344398340249,0.014204545454545454,0.014937759336099586,0.01503006012024048,0.010814708002883922,0.012846517917511832,0.013210039630118891,0.01015625,0.011478730587440918,0.008264462809917356,0.011434511434511435,0.009536784741144414,0.0076677316293929714,0.007380073800738007,0.0058823529411764705,0.003973509933774834,0.005438477226376614,0.008350730688935281,0.00964630225080386,0.004858299595141701,0.003115264797507788,0.004724409448818898,0.0005980861244019139,0.000731528895391368
population,0.002277904328018223,0.0,0.01066350710900474,0.008298755186721992,0.0,0.004149377593360996,0.00501002004008016,0.011535688536409516,0.008113590263691683,0.009247027741083224,0.00546875,0.006076975016880486,0.010209042294603793,0.007796257796257797,0.008855585831062671,0.0076677316293929714,0.011992619926199263,0.01,0.005960264900662252,0.006798096532970768,0.008350730688935281,0.008038585209003215,0.006477732793522267,0.008566978193146417,0.008661417322834646,0.00777511961722488,0.010241404535479151
