Year	Page	Abstract
1997	1	Interest of the binomial maximum likelihood approach in sib-pair linkage methods for analyzing multiplex sibships.
1997	1	Conditional oligogenic genomic screening.
1997	2	Behavior the Maximum Likelihood
1997	2	Comparison of variance components and extremely discordant sib pair (EDSP) linkage methods for quantitative traits.
1997	2	Segregation analysis of Attention Deficit Hyperactivi Disorder.
1997	3	Segregation analysis of pancreatic cancer.
1997	3	Evidence for two-locus inheritance of human fatness
1997	3	Genetic analysis of bivariate dichotomous twin data using logistic regression models.
1997	4	Quantitative symptom measures linked to chromosome 6 in familial schizophrenia. P
1997	4	Localization of a putative gene predisposing to Systemic Lupus Erythematosus (SLE) to a 5 CM region of chromosome 1.
1997	4	Using Gibbs sampling to fit generalized linear mixed models (GLMMs) to address the correlation of non- Normal phenotypes within nuclear families
1997	5	A Genetic Analysis of Smoking Behavior in 1480 Families.
1997	6	The genetic inheritance of body mass index and waist-to-hip ratio in African-American families.
1997	6	Evidence for linkage with markers on chromosome lp in families with late onset Alzheimer Disease - The NIMH Genetics Initiative AD Study Group.
1997	7	Commingling analysis of phonology measures in pedigrees ascertained through children with severe phonology disorders.
1997	7	Clinical usefulness of genotype for predicting long- term outcomes.
1997	8	Quantitative trivariate genetic analysis of low- density lipoprotein (LDL) size, triglyceride (TG) and high-density lipoprotein cholesterol (HDL).
1997	8	Regression analysis of survival data from families with a non-susceptible fraction.
1997	9	Two hypotheses explaining the contribution of HLA in Rheumatoid Xrthritis revisited using the MASC method with data on TNF-LT.
1997	9	Efficient designs for studying measured genes and gene-environment interactions.
1997	10	Clinical and epidemiologic factors in melanoma-
1997	12	Properties of a transmission/disequilibrium test for quantitative traits.
1997	12	Secular trends in mortality in six large families with hereditary breast-ovarian cancer from 1840 to 1994. TT.1,
1997	13	The Familial Atypical Multiple Mole-Melanoma (FAMMM) syndrome: mortality and causes of death in six Dutch families from 1830 to 1994.
1997	14	Using isolated populations to locate lo penetrance disease genes.
1997	15	New logistic regressive models for family data.
1997	15	Family history and early onset colorectal cancer: a population-based case-control-family study.
1997	15	The Future of Genetic Studies of Complex Human Diseases: An Epidemiologic Perspective
1997	16	A putative recessive gene for early onset of cancer in families of probands with Ewing’s sarcoma family of tumors.
1997	16	Tests for genotype-phenotype association in related persons.
1997	17	Incorporation of age of onset into multipoint linkage analysis using pseudolikelihood.
1997	17	HLA class II in severity of coccidioidomycosis.
1997	19	Linkage of bipolar affective disorder to chromosome 18q: Confirmation in a new pedigree series.
1997	19	The influence of marker and disease allele frequencies on genetic association studies.
1997	20	Segregation analysis using Gibbs sampling for Etiologic heterogeneity in age of onset of lung canc quantitative traits related to the asthma phenotype. CJ, Tsai YY, Hoover D. Jo LJ Hopkins University, Baltimore, USA.
1997	20	Determining Carrier Probabilities for Breast Cancer Susceptibility Genes BRCAI and BRCA2.
1997	20	Different age of onset of cancer in HNPCC pedig with and without identified germ-line mutat
1997	21	Data Management/Analysis Issues in Genome Screens.
1997	21	Further refinements to the broad autism phenotype definition.
1997	22	s to identify genetic high- and moderate-ris families and assess gene-environment interaction in a population-based case-control study of breast cancer.
1997	22	Identification of a novel genetic linkage with bipolar affective disorder.
1997	23	Linkage analysis of diseases with variable age of onset.
1997	23	Effects of map density, sibship size and computational approach on the power to detect quantitative loci.
1997	24	Congenital anal atresias in 225,752 consecutive births.
1997	24	Incorporation of missing data into
1997	24	and other association tests: an epidemiological view.
1997	24	Restrictions on the components of genetic varianc for epistatic models.
1997	25	Bivariate familial correlation analysis, by use of Estimating Equations. Application to the Insulin Resistance Syndrome.
1997	25	Power of the affected sib-pair method in the presence of environmental factors.
1997	25	Association between IDDM age of onset and HLA class I genes: family based and cross ethnic study.
1997	26	Continuous variable TDTs using regression analytic methods.
1997	26	Linkage analysis of smoking behavior and IgG2 levels in early onset periodontitis.
1997	27	Juvenile Myoclonic Epilepsy with absence linked to chromosome lp.
1997	27	Bias and efficiency in case-control studies of measured genes and gene-environment interactions: basic family designs.
1997	28	Is self-reported family history of colorectal canc accurate in adenomatous polyp and colorectal canc families?
1997	28	Genetic component in disability trait.
1997	28	Gene-environment interaction and oral clefts.
1997	29	Further indication for linkage of obesity to the Obese gene.
1997	29	Sample size calculations for linkage analysis to
1997	29	obesity using extreme sib pairs.
1997	29	Using Minimum Distance Estimation to estimate the recombination fraction and allele frequency in robust sib pair analyses for quantitative traits.
1998	5	The vitamin D receptor FokI start codon polymorphism and bone mineral density is osteoporotic postmenopausal French women
1998	5	Non-parametric methods for localizing genes for complex traits using ancestral haplotypes
1998	5	Excess of early-onset cancers in relatives of neuroblastoma patients
1998	6	Correlates of obesity display evidence for linkage to chromosomal regions 1p and 8p in familial combined hyperlipidemia (FCHL) pedigrees
1998	6	Interaction between dysplastic nevi and p16 in American melanoma-prone families.
1998	6	Heterogeneity in the relation of dopamine genes to ADHD: Application of a logistic regression extension of the TDT.
1998	7	Risk of prostate cancer associated with a family history: a population-based case-control study.
1998	7	A likelihood-based approach to linkage disequilibrium testing
1998	8	Modeling of HLA Class II susceptibility to type 1 diabetes reveals important role of DPB1.
1998	8	Genetic epidemiology of the atherogenic Lipoprotein(a)
1998	9	Genomic screen for linkage in a family with autosomal dominant chordoma
1998	9	Dissecting complex diseases with FINESSE
1998	9	Bootstrap confidence intervals for relative risks in ASP data
1998	10	Familial risks in cancers from a Family-Cancer Database
1998	10	Risk Models for Familial Breast and Ovarian Cancer
1998	10	Segregation Analysis of IgE Levels in 335 French Families (EGEA) using different strategies to correct for the ascertainment through a correlated trait (asthma).
1998	11	Parametric and non-parametric multipoint linkage analysis for two-locus disease models
1998	11	Analysis of linkage to HLA DRB1 and TNF in rheumatoid arthritis families; a comparison of three TDT methods
1998	11	Genetic analysis of antibody responses to specific malaria antigens in Papua New Guinea.
1998	12	ing a linkage replication study in affected sib pairs
1998	12	Parental genotype reconstruction and the sibship test for linkage (S-TDT)
1998	12	Glutathione S-transferase M1, M3, P1 polymorphisms and lung cancer: a case-control study in Caucasian smokers.
1998	13	An alternative test for linkage between a marker locus and a quantitative trait
1998	13	TNF & prolactin microsatellite polymorphism is not associated with susceptibility to SLE.
1998	13	Segregation analysis of squamous cell carcinoma of the head and neck: evidence for a major gene determining risk.
1998	14	Increasing the power of family-based association studies
1998	14	Genome-wide screening by homozygosity mapping: what set of markers to choose?
1998	14	A Simple Preliminary Ordering Algorithm for Loci Identified in Overlapping YACs.
1998	15	Detection of polymorphic sites within genes : how many sites are useful for association studies?
1998	15	A parametric copula model for analyzing familial binary data.
1998	15	Case-Only Design to Measure Gene-Gene Interactions
1998	16	A proposal for a collaborative pedigree database.
1998	16	The Effect of Allelic Heterogeneity on the Power of Transmission/Disequilibrium Tests (TDTs) and Affected Sib-Pair (ASP) linkage tests.
1998	16	Number of Susceptibility alleles
1998	16	Analysis of familial transmission of the response to DerpI skin-prick test (SPT) in 335 French families of the EGEA study. References:
1998	17	Risk estimation to select high risk families for identifying germ-line mutations in the breast This abstract is supported by : cancer susceptibility genes
1998	17	A linkage analysis of Multiple Sclerosis with candidate region markers in Sardinian and Continental Italian families using three non parametric tests
1998	18	Study design issues for investigating both genetic and environmental risk factors in a case-control study
1998	18	Little evidence for a relationship between oral contraceptive use and BRCA1 and BRCA2 mutation status in women diagnosed with breast cancer
1998	18	Extension of class D regressive model to bivariate linkage analysis: increase of power to detect Quantitative Trait Loci (QTLs)
1998	19	Optimization Procedures for Complex Segregation Analysis: the use of Genetic Algorithms
1998	19	A genetic epidemiologic study of radiological osteoarthritis
1999	1	The Additive Gamma Genetic Model For Linkage Analysis of Age-of-Onset Variation for Complex Diseases.
1999	1	In Search of Genes for Type 2 Diabetes in West Africa: the Design and Results of the First Phase of the Africa America Diabetes Mellitus (AADM) Study: For the AADM Investigators.
1999	2	Likelihood Alternatives to the TDT
1999	2	Glutathione S-transferases and susceptibility to peripheral arterial disease (PAD) given exposure to cigarette smoking: The ARIC Study
1999	3	A regression-based transmission/disequilibrium test for binary traits using logit link function
1999	3	Evaluation of average lod score and estimated size of modeled effects in a variance components approach
1999	3	Multipoint extension of the WPC linkage method for large pedigrees with application to breast cancer and alcoholism familial data.
1999	4	Bias and efficiency in family-matched gene association studies: Conditional, prospective, retrospective, and joint likelihoods
1999	4	Detection of a dominant major gene predisposing to HTLV-I infection in a Noir-Marron population of French Giuana.
1999	4	Effects of Stratification in the Analysis of Affected Sib-Pair Data.
1999	5	Multilocus linkage tests based on affected relative pairs
1999	5	Adding further power to the Haseman and Elston Method for detecting linkage
1999	5	Demography of Genotypes: The Italian Centenarians Study
1999	6	A general conditional logistic regression model for affected-relative-pair linkage studies.
1999	6	The Impact of Racial Admixture on Traditional Linkage Analysis
1999	6	Trimmed-haplotype analysis for fine-scale mapping of complex traits
1999	7	Power Comparisons Between the TDT and Two Likelihood-Based Tests for Complex Traits
1999	7	Haplotyping in pedigrees via a genetic algorithm
1999	7	High-density Genome Scans with Quantitative Traits – Resolving critical issues
1999	8	Evidence for further Breast Cancer susceptibility genes in addition to BRCA1 and BRCA2: the ABC study.
1999	8	Localization of prostate cancer aggressiveness genes
1999	8	An extended transmission/disequilibrium test (TDT) for two multi-allele marker loci
1999	9	Detecting allelic association in nuclear families.
1999	9	Linkage disequilibrium and allele frequency distributions in 114 SNPs across the genome in five populations
1999	9	The use of conditional logistic regression and family-based controls to investigate association of a candidate autoimmune gene with rheumatoid arthritis
1999	10	HLA and mate selection in North Carolina populations
1999	10	Random effect models for combination of association and sib-pair analysis applied to osteoarthritis (OA)
1999	11	The relationship between the sibling recurrence risk-ratio and genotype relative risk
1999	11	Ramifications of HLA class I polymorphism and population genetics for vaccine development.
1999	11	The genetics of regional fat distribution phenotypes in the population-based National Heart, Lung, and Blood Institute Family Heart Study (NHLBI-FHS).
1999	12	Association tests with marker haplotypes.
1999	12	On a Randomization Procedure in Linkage Analysis
1999	12	Selecting contingency table in population-based association study: Allele frequency or positivity?
1999	13	Homozygosity mapping and heterogeneity: a challenge.
1999	13	Reproductive factors and genetic predisposition for breast cancer: main effects and gene-envionment interactions. Results from a case-control study.
1999	13	Setting the prevalence constraint in linkage analysis of multifactorial diseases.
1999	14	Family ascertainment using a population-based registry of myocardial infarction
1999	14	Comparison of Type I error rates of Haseman- Elston sib-pair linkage method in various quantitative trait models.
1999	14	Incorporating Genetic Marker Information into the Analysis of Twin Survival Data: A Simulation Study
1999	15	Testing for Allelic Associations in Structured Populations
1999	15	A two-locus model for nonsyndromic congenital dysplasia of the hip
1999	15	Mapping disease genes using haplotype shared lengths
1999	16	HLA associations with subtypes of juvenile idiopathic arthritis based on a latent class analysis of symptoms
1999	16	Significance and power estimates of genome scans in relation to follow up strategies.
1999	16	and analysis options for the estimation of gene-environment interaction from epidemiological case-control studies
1999	17	Testing Gene-environment Interaction Using Affected Sibpairs
1999	17	Extending family based tests of association: using unaffected sibs, covariates, and testing for gene- gene interaction.
1999	18	A Note on the Relative Powers of TDT, S-TDT and 1-TDT Meta-analysis for interpreting results from multiple genome scans
1999	18	Tree-based Methods for Mapping Genes in Complex Diseases
1999	18	Segregation analysis of cancer in families of glioma patients.
1999	19	Segregation analysis of late onset Alzheimer’s disease: evidence for a major gene
1999	19	Familial Aggregation and Patterns of inheritance of Resting Metabolic Rates in African-American Families.
1999	19	Least Squares Estimation of Variance Components for Genetic Linkage Analysis
1999	20	Testing quantitative traits for association and linkage in the presence or absence of parental data
1999	20	The Influence of Environment on Heritability of ACE and Angiotensinogen: A Comparison of US Blacks and Nigerians
1999	20	Colorectal cancer with defective DNA mismatch repair is associated with alpha-1 antitrypsin deficiency heterozygosity and history of cigarette smoking
1999	21	A low level of response to alcohol and its relation to alcoholism
1999	21	Recent Genetic Findings in Bipolar Disorder
1999	21	Evidence for a shared genetic susceptibility to epilepsy and febrile convulsions: a familial aggregation analysis
1999	22	A Single, Sequential, Genome-Wide Test to Simultaneously Identify All Promising Areas in a Linkage Scan
1999	22	Evidence that diastolic blood pressure links to two loci in Mexican Americans
1999	23	False positives and false negatives in variance components linkage analysis of quantitative traits using SEGPATH
1999	23	Statistical Strategies to Distinguish the Effects of Maternal and Offspring Genes in the Etiology of Nonsyndromic Oral Clefts
1999	23	Apolipoprotein E frequencies in an elderly population
1999	24	Evaluation of Candidate Genes in Family Studies: GEE and Bootstrap Approaches
1999	24	Shared genes influence quantitative variation in plasma levels of nitric oxide and LDL-related phenotypes in the San Antonio Family Heart Study.
1999	24	Genome wide linkage analysis using genetic variance effects of asthma-associated binary, censored and continuous traits.
1999	25	Detection of Interaction between Loci in Genome Scans
1999	25	Influence of individuals or sibships in QTL linkage studies
1999	26	Power of the affected-sib pair with assortative mating and cultural transmission
1999	26	Childhood antisocial behavior and dopamine genes: Testing for mediation via regression-based extensions of the TDT
1999	26	Age-dependent penetrances among carriers of NAT2 polymorhisms with mutations in DNA mismatch repair genes
1999	27	A new explicit algorithm to calculate identity by descent probabilities for pairs of relatives with respect to two linked loci
1999	27	Measured haplotype analysis of the Angiotensin-I converting enzyme (ACE) gene in Jamaican subjects
1999	27	Using Categorical Path Analysis to Estimate Direct and Indirect Effects of Genetic and Environmental Risk Factors in Epidemiologic Studies
1999	28	Transmission disequilibrium analysis to identify a modifier gene for cystic fibrosis (CF) in the chromosome 19q13.2 region.
1999	28	Identifying false linkage signals from neural networks
1999	28	Evaluating The Evidence For A Relationship Between Fatty Acid Levels And Atopy In An Isolated Caucasoid Population.
1999	29	Estimation of variance components in an inbred pedigree
1999	29	Effect of apoE polymorphism on -lipoproteins in Mexican Americans
1999	30	Multipoint disequilibrium mapping by the decay of haplotype sharing
1999	30	Evaluating evidence for association of IL-4 and IL-4 receptor (IL-4r) polymorphisms with occupational allergy
1999	30	Linkage disequilibrium between IL-4 receptor polymorphisms in various samples of populations
1999	31	Genetic Epidemiology of the GENNID study I: covariate-adjustment and linkage analysis in the Mexican-American cohort.
1999	31	Maternal Multivitamin Use, Genetic Variation in Folate Metabolism and Risk of Oral Clefts
1999	31	The estimation of family correlations under Results: nonrandom sampling
1999	32	Linkage disequilibrium of 10 SNPs within a 10 kb region of the AI-CIII-AIV gene cluster in Familial Combined Hyperlipidemia (FCH) probands and spouses
1999	32	Robustness of the single-locus model for a two- locus quantitative trait
1999	32	Evidence for genetic influences on the change in percent body fat over time in Mexican Americans.
1999	33	Factor 3 MVI3 MVA Factor 4 MVE MVA
1999	33	Kinship Inference Using Identity-By-State Information
1999	33	Sibling Correlations of Echocardiographic Left Ventricular (LV) Measurements Derived from Factor Models: The HyperGEN Study
1999	33	Factor 1 PWT IVSD LVID Identifying a functional polymorphism through linkage analysis conditional on measured genotype
1999	33	Factor 2 ESSM FS LVID
1999	34	Gene-environment interaction models for complex traits with molecular discrete data: application of structural modelling to Mood Disorders.
1999	34	A survey of genome scan linkage results from human complex diseases and traits: do loci cluster and why?
1999	35	Power of Quantitative Transmission Disequilibrium Test in evaluating the genetic components of pharmacological response in psychiatric disorders.
1999	35	A stepwise oligogenic segregation analysis showed the existence of a second major locus underlying serum angiotensin I-converting enzyme levels.
1999	35	Comparison of Generalized Estimating Equations, Logistic Regression and Haseman-Elston Regression for a Dichotomous Trait.
1999	36	Penetrances of BRCA1 mutations
1999	36	Rheumatoid arthritis severity and dosage of the shared epitope: Results of a meta-analysis.
1999	36	Genetic factors may influence latent class membership for ADHD and its comorbid traits.
1999	37	Phenotypic assortment for height reconsidered
1999	37	Inference in Genetic Association Studies with highly polymorphic Markers.
1999	37	Incorporation of covariates in multipoint model- free linkage analysis of binary traits using the MLB method.
1999	38	Precision Mapping of Human QTLs by Combined Linkage/Disequilibrium Analysis
1999	38	A genome-wide linkage analysis of blood pressure and heart rate in the Québec Family Study using a variance components approach (SEGPATH)
1999	38	MILC: a new statistic to search for multifactorial diseases susceptibility genes in founder populations
1999	39	Under what conditions are association studies more efficient than family studies for gene mapping?
1999	39	Genetic Epidemiology with a Capital E
1999	39	s for detecting gene-gene interaction using affected sib pairs.
1999	40	Whole-genome association studies: which strategy to develop ?
1999	40	Gamete Competition Models
